stand,latcoord,longcoord
7,52.130900277777776,7.689076666666667
8,52.131014722222226,7.689748333333333
9,52.13109472222222,7.690837083333333
9A,52.1310125,7.6904377777777775
9B,52.131166666666665,7.6911869444444445
10,52.13140527777778,7.692129444444444
11,52.13158111111111,7.693011388888889
12,52.13175888888889,7.693778888888889
13,52.13190361111111,7.694587777777778
14,52.1320875,7.6954575
20,52.1323575,7.690305833333333
21,52.13258555555556,7.691176666666667
21A,52.13253319444445,7.690931805555556
21B,52.132639166666664,7.691427361111112
22,52.13272472222222,7.692094166666667
24,52.13330125,7.69420375
24A,52.13323666666666,7.693899583333334
24B,52.13336805555555,7.694518472222223
25,52.13341027777778,7.6953394444444445
19A,52.13194444444444,7.686972222222223
19B,52.13202777777778,7.687277777777778
19C,52.132083333333334,7.687583333333333
19D,52.13213888888889,7.687916666666667
19E,52.132222222222225,7.6882222222222225
18A,52.13152777777778,7.687194444444445
18B,52.13158333333333,7.687527777777778
18C,52.13166666666667,7.687833333333334
18D,52.13172222222222,7.688138888888889
18E,52.13180555555556,7.688472222222223
101,52.13157416666667,7.682418055555556
102,52.131409444444444,7.6824425000000005
103,52.13124166666667,7.682438333333334
104,52.1310625,7.682440277777778
201,52.13155861111111,7.683269722222223
202,52.13131861111111,7.6833025
203,52.13107277777778,7.683323611111112
301,52.13125,7.685583333333334
302,52.13125,7.68625
303,52.13125,7.686944444444444
401,52.130833333333335,7.685444444444444
402,52.130833333333335,7.685944444444445
403,52.130833333333335,7.686527777777778
404,52.130833333333335,7.687111111111111
405,52.130805555555554,7.687611111111111
406,52.130805555555554,7.688083333333333
