stand,latcoord,longcoord
1,49.4755824,8.5213984
2,49.4755892,8.5211227
3,49.4755972,8.5208454
4,49.4756029,8.5205679
5,49.4756115,8.5203027
Terminal,49.476115449999995,8.5209171
Hangars,49.476454200000006,8.518560950000001
HELI,49.475579499999995,8.5225757
PARK,49.474993299999994,8.51921475
