stand,latcoord,longcoord
311,49.94629638888888,7.268588333333334
312,49.94649222222222,7.268091388888889
313,49.94664944444444,7.267653055555556
314,49.94704888888889,7.2693594444444445
315,49.94723,7.268880277777778
316,49.94741611111111,7.268392777777778
321,49.947540277777776,7.2698175
322,49.94773222222222,7.269338333333334
323,49.94791027777777,7.2688425
324,49.94833694444444,7.270624444444445
325,49.94850694444444,7.270103333333333
326,49.947918055555554,7.269742222222222
333,49.94896930555555,7.2707677777777775
331,49.94913027777777,7.270935833333334
332,49.94929222222222,7.2711073611111114
334,49.949016111111106,7.270834444444445
341,49.94986166666666,7.271906666666666
351,49.95048166666667,7.272464722222222
411,49.95209555555556,7.273838333333333
421,49.952688611111114,7.274464166666666
431,49.95335444444445,7.275110555555555
441,49.954013611111115,7.275603055555555
451,49.954715694444445,7.2767880555555555
APN2,49.94214291666666,7.263721527777777
MAINT,49.95776847222223,7.280201666666667
